,0,1
191,sreerama k. murthy,-1
192,filippo neri,-1
193,craig nevill-manning,-1
194,andrew y. ng,-1
195,nikolay nikolaev,-1
196,steven w. norton,-1
197,joseph o'sullivan,-1
198,dan oblinger,-1
199,jong-hoon oh,-1
200,arlindo oliveira,-1
201,david w. opitz,-1
202,sandra panizza,-1
203,barak a. pearlmutter,-1
204,ed pednault,-1
205,jing peng,-1
206,fernando pereira,-1
207,aurora perez,-1
208,bernhard pfahringer,-1
209,david pierce,-1
210,krishnan pillaipakkamnatt,-1
211,roberto piola,-1
212,leonard pitt,-1
213,lorien y. pratt,-1
214,armand prieditis,-1
215,foster j. provost,-1
216,j. r. quinlan,-1
217,john rachlin,-1
218,vijay raghavan,-1
219,r. bharat rao,-1
220,priscilla rasmussen,-1
221,joel ratsaby,-1
222,michael redmond,-1
223,patricia j. riddle,-1
224,lance riley,-1
225,ronald l. rivest,-1
226,huw roberts,-1
227,dana ron,-1
228,robert s. roos,-1
229,justinian rosca,-1
230,john r. rose,-1
231,dan roth,-1
232,james s. royer,-1
233,ronitt rubinfeld,-1
234,stuart russell,-1
235,lorenza saitta,-1
236,yoshifumi sakai,-1
237,william sakas,-1
238,marcos salganicoff,-1
239,steven salzberg,-1
240,claude sammut,-1
241,cullen schaffer,-1
242,robert schapire,-1
243,mark schwabacher,-1
244,michele sebag,-1
245,gary m. selzer,-1
246,sebastian seung,-1
247,arun sharma,-1
248,jude shavlik,-1
249,daniel l. silver,-1
250,glenn silverstein,-1
251,yoram singer,-1
252,mona singh,-1
253,satinder pal singh,-1
254,kimmen sjolander,-1
255,david b. skalak,-1
256,sean slattery,-1
257,robert sloan,0
258,donna slonim,-1
259,carl h. smith,-1
260,sonya snedecor,-1
261,von-wun soo,-1
262,thomas g. spalthoff,-1
263,mark staley,-1
264,frank stephan,-1
265,mandayam t. suraj,-1
266,richard s. sutton,-1
267,joe suzuki,-1
268,prasad tadepalli,-1
269,hiroshi tanaka,-1
270,irina tchoumatchenko,-1
271,brian tester,-1
272,chen k. tham,-1
273,tatsuo unemi,-1
274,lyle h. ungar,-1
275,paul utgoff,-1
276,karsten verbeurgt,-1
277,paul vitanyi,-1
278,xuemei wang,-1
279,manfred warmuth,-1
280,gary weiss,-1
281,sholom weiss,-1
282,thomas wengerek,-1
283,bradley l. whitehall,-1
284,alma whitten,-1
285,robert williamson,-1
286,janusz wnek,-1
287,kenji yamanishi,-1
288,takefumi yamazaki,-1
289,holly yanco,-1
290,john m. zelle,-1
291,thomas zeugmann,-1
292,jean-daniel zucker,-1
293,darko zupanic,-1
294,american express,1
295,american express co,1
296,walmart company holdings,2
297,walmart company holding,2
